,poistion,track_name,artist,popularity,followers,gen_1,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,track_id,art_id,album,year
370,71,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),Felix Jaehn,72,1249029,Dance,0.778,0.566,2,-6.959,0,0.0311,0.000197,0.0698,0.479,117.971,186147,4,FALSE,3c8iiZGfEammKJuWTErE5x,4bL2B6hmLlMWnUEZnorEtG,I,2015
371,72,Do It Again,Pia Mia,71,1832025,Dance,0.712,0.564,8,-6.527,1,0.047,0,0.0874,0.411,95.95,207747,4,TRUE,72Bz4ciRZPBcVSw0nrZDHi,1BhWF9W2PngtPSyobKg0rP,Do It Again,2015
372,73,Hello,Adele,72,44110183,Soul,0.578,0.43,5,-6.134,0,0.0305,0,0.0854,0.288,78.991,295502,4,FALSE,62PaSfnXSMyLshYJrlTuL3,4dpARuHxo51G3z768sgnrY,25,2015
373,74,The Heart Wants What It Wants,Selena Gomez,71,38617185,Dance,0.616,0.789,7,-4.874,0,0.0377,0,0.142,0.621,83.066,227373,4,FALSE,6wJwkMo278iWVlWl1XQ4WA,0C8ZW7ezQVs4URX5aX7Kqx,The Heart Wants What It Wants,2015
374,75,Ayo,Chris Brown,71,17592595,Dance,0.823,0.563,6,-5.095,1,0.0443,0,0.0851,0.682,98.031,225227,4,TRUE,0k6DnZMLoEUH8NGD5zh2SE,7bXgB6jMjp9ATFy66eO08Z,Fan of A Fan The Album (Expanded Edition),2015
375,76,Spirits,The Strumbellas,71,249226,Indie,0.556,0.657,0,-6.075,1,0.0265,0,0.113,0.79,80.529,203653,4,FALSE,1VyiUi0mRnSKgtHa5dBoUd,6ujr1NkqbZpYOhquczUUfl,Hope,2015
376,77,"Honey, I'm Good.",Andy Grammer,71,1103953,Dance,0.752,0.775,9,-7.289,1,0.0546,0,0.351,0.595,122.014,199263,4,FALSE,4MflGTO2ZTcSQ12bWcyRgI,2oX42qP5ineK3hrhBECLmj,Magazines Or Novels,2015
377,78,Jumpman,Drake,71,69172212,Hip Hop,0.852,0.553,1,-7.286,1,0.187,0,0.332,0.656,142.079,205879,4,TRUE,27GmP9AWRs744SzKcpJsTZ,3TVXtAsR1Inumwj472S9r4,What A Time To Be Alive,2015
378,79,Please Don't Go,Joel Adams,70,172024,Pop,0.513,0.768,4,-4.868,0,0.0587,1.94E-05,0.294,0.235,84.264,210580,4,FALSE,3cNjgVBKTJ1SvKhunrCdVy,36jaGQtMj5UWD0eO1fCVdD,Please Don't Go,2015
379,80,All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,70,345923,EDM,0.681,0.521,0,-5.849,1,0.141,8.41E-05,0.108,0.181,94.997,229747,4,TRUE,6TaqooOXAEcijL6G1AWS2K,2FwJwEswyIUAljqgjNSHgP,All My Friends (feat. Tinashe & Chance the Rapper),2015
