,poistion,track_name,artist,popularity,followers,genres,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,track_id,art_id,album,year
70,71,Somebody,Natalie La Rose,67,107663,[],0.83,0.52,0,-8.714,1,0.0376,1.25e-05,0.0656,0.735,104.99,189907,4,False,7ioiB40H9xKs04QtIso2I3,2qdONMCoDngQk0eV4Avs1i,Somebody,2014
71,72,Gecko (Overdrive) - Radio Edit,Oliver Heldens,67,971988,"['dance pop', 'edm', 'electro house', 'future house', 'house', 'pop dance', 'progressive electro house', 'progressive house', 'tropical house']",0.609,0.885,0,-5.469,1,0.0642,1.15e-05,0.336,0.76,124.959,165441,4,False,483XiZ5o13Cc1zoWV7jGml,5nki7yRhxgM509M5ADlN1p,Gecko (Overdrive) [Radio Edit],2014
72,73,Money On My Mind,Sam Smith,66,20838804,"['dance pop', 'pop', 'uk pop']",0.688,0.841,2,-5.217,1,0.179,0.000295,0.229,0.743,133.912,192670,4,False,5XX9oGZfgKMXdHnEp4t2JB,2wY79sveU1sp5g7SokKOiI,In The Lonely Hour,2014
73,74,Talking Body,Tove Lo,66,3184147,"['dance pop', 'electropop', 'metropopolis', 'pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",0.736,0.761,4,-5.449,0,0.0338,0,0.0823,0.114,119.999,238427,4,True,2tpfxAXiI52znho4WE3XFA,4NHQUGzhtTLFvgF5SZesLK,Queen Of The Clouds,2014
74,75,First,Cold War Kids,66,798448,"['alternative rock', 'indie rock', 'modern alternative rock', 'modern rock', 'piano rock', 'rock', 'stomp and holler']",0.468,0.692,2,-4.015,1,0.0295,2.39e-06,0.523,0.561,78.009,200360,4,False,3omXshBamrREltcf24gYDC,6VDdCwrBM4qQaGxoAyxyJC,Hold My Home,2014
75,76,Anaconda,Nicki Minaj,66,26632576,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",0.964,0.605,9,-6.223,1,0.179,7.78e-06,0.214,0.646,129.994,260240,4,True,794F99D5BQHS5ZGRXAs7I5,0hCNtLu0JehylgoiP8L4Gh,The Pinkprint (Deluxe),2014
76,77,Ain't It Fun,Paramore,66,7312731,"['candy pop', 'pixie', 'pop emo', 'pop punk']",0.61,0.893,9,-3.681,1,0.0921,4.41e-05,0.021,0.673,104.031,296520,4,False,3yrvQHw6pQemsrCQEpMnKv,74XFHRwlV6OrjEM0A2NCMF,Paramore (Deluxe Edition),2014
77,78,Red Lights,Tiësto,66,6601401,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']",0.654,0.83,10,-4.801,1,0.0366,1.13e-06,0.121,0.548,124.989,262200,4,False,5L2l7mI8J1USMzhsmdjat9,2o5jDhtHVPhrJdv3cEQ99Z,A Town Called Paradise,2014
78,79,Black Widow,Iggy Azalea,65,6174903,"['australian hip hop', 'dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'rap', 'viral rap']",0.743,0.72,11,-3.753,1,0.124,0.000386,0.109,0.519,163.99,209423,4,True,7pNC5ZIKtwUK0ReSpM3P9f,5yG7ZAZafVaAlMTeBybKAL,The New Classic,2014
79,80,Elastic Heart,Sia,65,24949389,"['australian dance', 'australian pop', 'dance pop', 'pop']",0.421,0.791,9,-4.998,1,0.0496,1.48e-05,0.146,0.499,130.075,257200,4,False,5S9lfZu1YF8xKkgSsqL2Bd,5WUlDfRSoLAfcVSX1WnrxN,1000 Forms Of Fear (Deluxe Version),2014
80,81,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,65,5846564,"['complextro', 'dance pop', 'edm', 'electro house', 'german techno', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'tropical house']",0.596,0.738,8,-3.109,1,0.0411,0,0.0947,0.461,127.961,217347,4,False,2QtJA4gbwe1AcanB2p21aP,2qxJFvFYMEDqd7ui6kSAcq,Clarity (Deluxe),2014
81,82,Talk Dirty (feat. 2 Chainz),Jason Derulo,65,11615458,"['dance pop', 'edm', 'pop', 'pop rap', 'post-teen pop']",0.76,0.652,6,-7.321,1,0.232,0,0.307,0.759,100.315,177685,4,True,6g6A7qNhTfUgOSH7ROOxTD,07YZf4WDAMNwqr4jfgOZ8y,Talk Dirty,2014
